ticker,event_date,relative_day,window_start,window_end,score_end,top_key_date,top_key_lag,npz_path,png_path
AKAM,2024-02-14,t-3,2024-01-22,2024-02-09,0.0008167644846253097,2024-01-24,12,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_AKAM_event_2024_02_14_t-3_end_2024_02_09.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_AKAM_event_2024_02_14_tminus3_to_t.png
AKAM,2024-02-14,t-2,2024-01-23,2024-02-12,0.0010270068887621164,2024-01-24,13,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_AKAM_event_2024_02_14_t-2_end_2024_02_12.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_AKAM_event_2024_02_14_tminus3_to_t.png
AKAM,2024-02-14,t-1,2024-01-24,2024-02-13,0.018878933042287827,2024-02-13,0,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_AKAM_event_2024_02_14_t-1_end_2024_02_13.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_AKAM_event_2024_02_14_tminus3_to_t.png
AKAM,2024-02-14,t,2024-01-25,2024-02-14,0.02132793702185154,2024-01-26,13,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_AKAM_event_2024_02_14_t_end_2024_02_14.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_AKAM_event_2024_02_14_tminus3_to_t.png
AKAM,2024-11-08,t-3,2024-10-16,2024-11-05,0.0008159088320098817,2024-10-23,9,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_AKAM_event_2024_11_08_t-3_end_2024_11_05.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_AKAM_event_2024_11_08_tminus3_to_t.png
AKAM,2024-11-08,t-2,2024-10-17,2024-11-06,0.0005832870374433696,2024-11-06,0,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_AKAM_event_2024_11_08_t-2_end_2024_11_06.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_AKAM_event_2024_11_08_tminus3_to_t.png
AKAM,2024-11-08,t-1,2024-10-18,2024-11-07,0.0006373307551257312,2024-11-06,1,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_AKAM_event_2024_11_08_t-1_end_2024_11_07.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_AKAM_event_2024_11_08_tminus3_to_t.png
AKAM,2024-11-08,t,2024-10-21,2024-11-08,0.048385217785835266,2024-10-28,9,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_AKAM_event_2024_11_08_t_end_2024_11_08.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_AKAM_event_2024_11_08_tminus3_to_t.png
CVS,2023-06-14,t-3,2023-05-19,2023-06-09,0.0006894417456351221,2023-05-31,7,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_CVS_event_2023_06_14_t-3_end_2023_06_09.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_CVS_event_2023_06_14_tminus3_to_t.png
CVS,2023-06-14,t-2,2023-05-22,2023-06-12,0.0004648659087251872,2023-05-31,8,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_CVS_event_2023_06_14_t-2_end_2023_06_12.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_CVS_event_2023_06_14_tminus3_to_t.png
CVS,2023-06-14,t-1,2023-05-23,2023-06-13,2.4223503714893013e-05,2023-05-31,9,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_CVS_event_2023_06_14_t-1_end_2023_06_13.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_CVS_event_2023_06_14_tminus3_to_t.png
CVS,2023-06-14,t,2023-05-24,2023-06-14,0.14394240081310272,2023-06-09,3,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_CVS_event_2023_06_14_t_end_2023_06_14.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_CVS_event_2023_06_14_tminus3_to_t.png
CVS,2023-08-17,t-3,2023-07-25,2023-08-14,0.00012959828018210828,2023-08-02,8,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_CVS_event_2023_08_17_t-3_end_2023_08_14.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_CVS_event_2023_08_17_tminus3_to_t.png
CVS,2023-08-17,t-2,2023-07-26,2023-08-15,0.0003109486715402454,2023-08-02,9,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_CVS_event_2023_08_17_t-2_end_2023_08_15.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_CVS_event_2023_08_17_tminus3_to_t.png
CVS,2023-08-17,t-1,2023-07-27,2023-08-16,0.0004678152909036726,2023-08-02,10,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_CVS_event_2023_08_17_t-1_end_2023_08_16.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_CVS_event_2023_08_17_tminus3_to_t.png
CVS,2023-08-17,t,2023-07-28,2023-08-17,0.05946199223399162,2023-08-16,1,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_CVS_event_2023_08_17_t_end_2023_08_17.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_CVS_event_2023_08_17_tminus3_to_t.png
CVS,2024-05-01,t-3,2024-04-08,2024-04-26,0.00017219167784787714,2024-04-10,12,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_CVS_event_2024_05_01_t-3_end_2024_04_26.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_CVS_event_2024_05_01_tminus3_to_t.png
CVS,2024-05-01,t-2,2024-04-09,2024-04-29,0.00045512180076912045,2024-04-10,13,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_CVS_event_2024_05_01_t-2_end_2024_04_29.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_CVS_event_2024_05_01_tminus3_to_t.png
CVS,2024-05-01,t-1,2024-04-10,2024-04-30,9.736420179251581e-05,2024-04-10,14,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_CVS_event_2024_05_01_t-1_end_2024_04_30.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_CVS_event_2024_05_01_tminus3_to_t.png
CVS,2024-05-01,t,2024-04-11,2024-05-01,0.0851871520280838,2024-04-22,7,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_CVS_event_2024_05_01_t_end_2024_05_01.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_CVS_event_2024_05_01_tminus3_to_t.png
EL,2023-05-03,t-3,2023-04-10,2023-04-28,0.0001513689203420654,2023-04-12,12,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_EL_event_2023_05_03_t-3_end_2023_04_28.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_EL_event_2023_05_03_tminus3_to_t.png
EL,2023-05-03,t-2,2023-04-11,2023-05-01,5.290571425575763e-05,2023-04-12,13,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_EL_event_2023_05_03_t-2_end_2023_05_01.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_EL_event_2023_05_03_tminus3_to_t.png
EL,2023-05-03,t-1,2023-04-12,2023-05-02,0.00043862895108759403,2023-04-12,14,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_EL_event_2023_05_03_t-1_end_2023_05_02.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_EL_event_2023_05_03_tminus3_to_t.png
EL,2023-05-03,t,2023-04-13,2023-05-03,0.8765710592269897,2023-04-20,9,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_EL_event_2023_05_03_t_end_2023_05_03.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_EL_event_2023_05_03_tminus3_to_t.png
EL,2024-10-31,t-3,2024-10-08,2024-10-28,0.0014680111780762672,2024-10-28,0,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_EL_event_2024_10_31_t-3_end_2024_10_28.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_EL_event_2024_10_31_tminus3_to_t.png
EL,2024-10-31,t-2,2024-10-09,2024-10-29,0.00018429507326800376,2024-10-28,1,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\attention_values_EL_event_2024_10_31_t-2_end_2024_10_29.npz,tmp\attention_cases\AT-State-LinearToken-W15-seed0_window_evolution_full_timeline\w15_full_timeline_attention_evolution_EL_event_2024_10_31_tminus3_to_t.png
