ticker,event_date,date,relative_day,score,label
AKAM,2023-02-15,2023-02-01,t-10,2.8116564083445284e-05,0
AKAM,2023-02-15,2023-02-02,t-9,3.40795510386339e-05,0
AKAM,2023-02-15,2023-02-03,t-8,9.952509809290464e-05,0
AKAM,2023-02-15,2023-02-06,t-7,7.312489378819009e-05,0
AKAM,2023-02-15,2023-02-07,t-6,2.5326939576189032e-05,0
AKAM,2023-02-15,2023-02-08,t-5,5.812879876779894e-05,0
AKAM,2023-02-15,2023-02-09,t-4,6.161234408931773e-05,0
AKAM,2023-02-15,2023-02-10,t-3,3.112605138864767e-05,0
AKAM,2023-02-15,2023-02-13,t-2,1.669116591074271e-05,0
AKAM,2023-02-15,2023-02-14,t-1,2.7109278319888597e-05,0
AKAM,2023-02-15,2023-02-15,t,0.0970078997554317,1
AKAM,2024-02-14,2024-01-31,t-10,2.5227642428641654e-05,0
AKAM,2024-02-14,2024-02-01,t-9,1.5979515516543567e-05,0
AKAM,2024-02-14,2024-02-02,t-8,1.5284263542980626e-05,0
AKAM,2024-02-14,2024-02-05,t-7,1.2079549348224344e-05,0
AKAM,2024-02-14,2024-02-06,t-6,2.484527131703847e-05,0
AKAM,2024-02-14,2024-02-07,t-5,2.3546913917016356e-05,0
AKAM,2024-02-14,2024-02-08,t-4,6.509325280982617e-06,0
AKAM,2024-02-14,2024-02-09,t-3,3.018546140841257e-05,0
AKAM,2024-02-14,2024-02-12,t-2,2.017472381794505e-05,0
AKAM,2024-02-14,2024-02-13,t-1,0.0001586371545727,1
AKAM,2024-02-14,2024-02-14,t,0.0761403412868579,1
AKAM,2024-11-08,2024-10-25,t-10,0.0001443188399879,0
AKAM,2024-11-08,2024-10-28,t-9,0.0001329777016103,0
AKAM,2024-11-08,2024-10-29,t-8,7.160050694468819e-05,0
AKAM,2024-11-08,2024-10-30,t-7,5.764989307778684e-05,0
AKAM,2024-11-08,2024-10-31,t-6,5.51874186168702e-05,0
AKAM,2024-11-08,2024-11-01,t-5,7.551392959834541e-05,0
AKAM,2024-11-08,2024-11-04,t-4,5.860703681719315e-05,0
AKAM,2024-11-08,2024-11-05,t-3,2.7977084522344507e-05,0
AKAM,2024-11-08,2024-11-06,t-2,0.000337502590762,0
AKAM,2024-11-08,2024-11-07,t-1,5.066569330567192e-05,0
AKAM,2024-11-08,2024-11-08,t,0.0838061538007524,1
CVS,2023-06-14,2023-05-31,t-10,9.918442272767907e-06,0
CVS,2023-06-14,2023-06-01,t-9,2.080913474552896e-05,0
CVS,2023-06-14,2023-06-02,t-8,3.3440996882442654e-05,0
CVS,2023-06-14,2023-06-05,t-7,3.028534853607804e-05,0
CVS,2023-06-14,2023-06-06,t-6,3.323053712544303e-05,0
CVS,2023-06-14,2023-06-07,t-5,4.978364501463754e-05,0
CVS,2023-06-14,2023-06-08,t-4,7.498674640373792e-05,0
CVS,2023-06-14,2023-06-09,t-3,0.0001068927413143,0
CVS,2023-06-14,2023-06-12,t-2,8.122832650769851e-05,0
CVS,2023-06-14,2023-06-13,t-1,2.735820550393934e-05,0
CVS,2023-06-14,2023-06-14,t,0.1243234577683324,1
CVS,2023-08-17,2023-08-03,t-10,5.421736392842528e-05,0
CVS,2023-08-17,2023-08-04,t-9,5.026110854184177e-05,0
CVS,2023-08-17,2023-08-07,t-8,3.670763326226734e-05,0
CVS,2023-08-17,2023-08-08,t-7,2.4670287075423403e-05,0
CVS,2023-08-17,2023-08-09,t-6,2.3693819108909035e-05,0
CVS,2023-08-17,2023-08-10,t-5,6.450421939613686e-05,0
CVS,2023-08-17,2023-08-11,t-4,3.318574229827694e-05,0
CVS,2023-08-17,2023-08-14,t-3,4.0467071479118506e-05,0
CVS,2023-08-17,2023-08-15,t-2,6.301165103650419e-05,0
CVS,2023-08-17,2023-08-16,t-1,7.768258698585366e-05,0
CVS,2023-08-17,2023-08-17,t,0.0965635017181436,1
CVS,2024-05-01,2024-04-17,t-10,0.0001651828300661,0
CVS,2024-05-01,2024-04-18,t-9,0.0001499940531781,0
CVS,2024-05-01,2024-04-19,t-8,0.0001730964746154,0
CVS,2024-05-01,2024-04-22,t-7,0.0002080841810008,0
CVS,2024-05-01,2024-04-23,t-6,0.0001811832429363,0
CVS,2024-05-01,2024-04-24,t-5,0.000146251628333,0
CVS,2024-05-01,2024-04-25,t-4,0.0001419057494482,0
CVS,2024-05-01,2024-04-26,t-3,0.0001596314674316,0
CVS,2024-05-01,2024-04-29,t-2,0.0001971683320637,0
CVS,2024-05-01,2024-04-30,t-1,7.030116517701875e-05,0
CVS,2024-05-01,2024-05-01,t,1.2222119987010955,1
EL,2023-05-03,2023-04-19,t-10,7.237858259638112e-05,0
EL,2023-05-03,2023-04-20,t-9,0.0001392343038711,0
EL,2023-05-03,2023-04-21,t-8,0.0001372543221198,0
EL,2023-05-03,2023-04-24,t-7,0.0003311728103047,0
EL,2023-05-03,2023-04-25,t-6,0.0003936276119323,0
EL,2023-05-03,2023-04-26,t-5,0.0002293045671649,0
EL,2023-05-03,2023-04-27,t-4,0.0002271957554815,0
EL,2023-05-03,2023-04-28,t-3,0.0001026437673014,0
EL,2023-05-03,2023-05-01,t-2,0.0003308474247508,0
EL,2023-05-03,2023-05-02,t-1,4.491074375134e-05,0
EL,2023-05-03,2023-05-03,t,5.536741177241008,1
EL,2024-10-31,2024-10-17,t-10,0.0002410300894902,0
EL,2024-10-31,2024-10-18,t-9,0.0002725501709552,0
EL,2024-10-31,2024-10-21,t-8,0.0002510713423544,0
EL,2024-10-31,2024-10-22,t-7,0.0002448630955174,0
EL,2024-10-31,2024-10-23,t-6,0.0002624804790987,0
EL,2024-10-31,2024-10-24,t-5,0.0003641618052225,0
EL,2024-10-31,2024-10-25,t-4,0.0003144952772898,0
EL,2024-10-31,2024-10-28,t-3,0.0001244569445488,0
EL,2024-10-31,2024-10-29,t-2,0.0001719925786677,0
EL,2024-10-31,2024-10-30,t-1,0.0001363565432595,0
EL,2024-10-31,2024-10-31,t,8.527950809115456,1
TGT,2023-11-15,2023-11-01,t-10,0.0001200755487047,0
TGT,2023-11-15,2023-11-02,t-9,0.0001151677659587,0
