ticker,event_date,relative_day,window_start,window_end,top_key_date_for_last_query,top_key_lag_for_last_query,end_score,npz_path,png_path
AKAM,2024-02-14,t-3,2023-11-14,2024-02-09,2023-12-14,38,0.0001249160268343,tmp\attention_cases\attention_at_state_full_window_evolution\attention_values_AKAM_event_2024_02_14_t-3_end_2024_02_09.npz,tmp\attention_cases\attention_at_state_full_window_evolution\series_attention_evolution_AKAM_event_2024_02_14_tminus3_to_t.png
AKAM,2024-02-14,t-2,2023-11-15,2024-02-12,2023-12-14,39,0.0001409359829267,tmp\attention_cases\attention_at_state_full_window_evolution\attention_values_AKAM_event_2024_02_14_t-2_end_2024_02_12.npz,tmp\attention_cases\attention_at_state_full_window_evolution\series_attention_evolution_AKAM_event_2024_02_14_tminus3_to_t.png
AKAM,2024-02-14,t-1,2023-11-16,2024-02-13,2024-02-13,0,0.007300523109734,tmp\attention_cases\attention_at_state_full_window_evolution\attention_values_AKAM_event_2024_02_14_t-1_end_2024_02_13.npz,tmp\attention_cases\attention_at_state_full_window_evolution\series_attention_evolution_AKAM_event_2024_02_14_tminus3_to_t.png
AKAM,2024-02-14,t,2023-11-17,2024-02-14,2024-02-14,0,0.0418657772243022,tmp\attention_cases\attention_at_state_full_window_evolution\attention_values_AKAM_event_2024_02_14_t_end_2024_02_14.npz,tmp\attention_cases\attention_at_state_full_window_evolution\series_attention_evolution_AKAM_event_2024_02_14_tminus3_to_t.png
AKAM,2024-11-08,t-3,2024-08-13,2024-11-05,2024-08-13,59,0.000141664117109,tmp\attention_cases\attention_at_state_full_window_evolution\attention_values_AKAM_event_2024_11_08_t-3_end_2024_11_05.npz,tmp\attention_cases\attention_at_state_full_window_evolution\series_attention_evolution_AKAM_event_2024_11_08_tminus3_to_t.png
AKAM,2024-11-08,t-2,2024-08-14,2024-11-06,2024-11-06,0,0.0041664596647024,tmp\attention_cases\attention_at_state_full_window_evolution\attention_values_AKAM_event_2024_11_08_t-2_end_2024_11_06.npz,tmp\attention_cases\attention_at_state_full_window_evolution\series_attention_evolution_AKAM_event_2024_11_08_tminus3_to_t.png
AKAM,2024-11-08,t-1,2024-08-15,2024-11-07,2024-11-06,1,9.831616625888272e-05,tmp\attention_cases\attention_at_state_full_window_evolution\attention_values_AKAM_event_2024_11_08_t-1_end_2024_11_07.npz,tmp\attention_cases\attention_at_state_full_window_evolution\series_attention_evolution_AKAM_event_2024_11_08_tminus3_to_t.png
AKAM,2024-11-08,t,2024-08-16,2024-11-08,2024-11-08,0,0.0783109813928604,tmp\attention_cases\attention_at_state_full_window_evolution\attention_values_AKAM_event_2024_11_08_t_end_2024_11_08.npz,tmp\attention_cases\attention_at_state_full_window_evolution\series_attention_evolution_AKAM_event_2024_11_08_tminus3_to_t.png
CVS,2023-06-14,t-3,2023-03-16,2023-06-09,2023-05-03,26,0.000156296940986,tmp\attention_cases\attention_at_state_full_window_evolution\attention_values_CVS_event_2023_06_14_t-3_end_2023_06_09.npz,tmp\attention_cases\attention_at_state_full_window_evolution\series_attention_evolution_CVS_event_2023_06_14_tminus3_to_t.png
CVS,2023-06-14,t-2,2023-03-17,2023-06-12,2023-05-03,27,7.936284964671358e-05,tmp\attention_cases\attention_at_state_full_window_evolution\attention_values_CVS_event_2023_06_14_t-2_end_2023_06_12.npz,tmp\attention_cases\attention_at_state_full_window_evolution\series_attention_evolution_CVS_event_2023_06_14_tminus3_to_t.png
CVS,2023-06-14,t-1,2023-03-20,2023-06-13,2023-05-03,28,2.048128953902051e-05,tmp\attention_cases\attention_at_state_full_window_evolution\attention_values_CVS_event_2023_06_14_t-1_end_2023_06_13.npz,tmp\attention_cases\attention_at_state_full_window_evolution\series_attention_evolution_CVS_event_2023_06_14_tminus3_to_t.png
CVS,2023-06-14,t,2023-03-21,2023-06-14,2023-06-14,0,0.0494258403778076,tmp\attention_cases\attention_at_state_full_window_evolution\attention_values_CVS_event_2023_06_14_t_end_2023_06_14.npz,tmp\attention_cases\attention_at_state_full_window_evolution\series_attention_evolution_CVS_event_2023_06_14_tminus3_to_t.png
CVS,2023-08-17,t-3,2023-05-18,2023-08-14,2023-06-14,41,2.7520152798388157e-05,tmp\attention_cases\attention_at_state_full_window_evolution\attention_values_CVS_event_2023_08_17_t-3_end_2023_08_14.npz,tmp\attention_cases\attention_at_state_full_window_evolution\series_attention_evolution_CVS_event_2023_08_17_tminus3_to_t.png
CVS,2023-08-17,t-2,2023-05-19,2023-08-15,2023-06-14,42,4.0645365515956655e-05,tmp\attention_cases\attention_at_state_full_window_evolution\attention_values_CVS_event_2023_08_17_t-2_end_2023_08_15.npz,tmp\attention_cases\attention_at_state_full_window_evolution\series_attention_evolution_CVS_event_2023_08_17_tminus3_to_t.png
