seed,ticker,start,end,days,peak_date,max_score,threshold,score_ratio,under_threshold
0,PM,2024-11-06,2024-11-06,1,2024-11-06,1.9992112823418117e-05,0.0015159095603688145,0.01318819627904063,0.0014959174475453964
0,UNH,2024-11-06,2024-11-06,1,2024-11-06,2.3607577687519216e-05,0.0015159095603688145,0.01557320984358433,0.0014923019826812952
0,COST,2023-11-16,2023-11-16,1,2023-11-16,3.0526099881929745e-05,0.0015159095603688145,0.020137151107156335,0.0014853834604868848
0,IBM,2023-09-26,2023-09-26,1,2023-09-26,3.694419572942328e-05,0.0015159095603688145,0.024370976142161747,0.0014789653646393912
0,CVX,2023-10-23,2023-10-23,1,2023-10-23,3.7417107220486895e-05,0.0015159095603688145,0.02468294164685093,0.0014784924531483275
0,ALL,2023-01-19,2023-01-19,1,2023-01-19,4.4822584451746174e-05,0.0015159095603688145,0.02956811252040724,0.0014710869759170682
0,GS,2023-11-03,2023-11-03,1,2023-11-03,4.576182388215481e-05,0.0015159095603688145,0.030187700558482626,0.0014701477364866596
0,COF,2024-06-11,2024-06-11,1,2024-06-11,5.057492585365253e-05,0.0015159095603688145,0.03336275934650604,0.001465334634515162
0,PM,2023-09-28,2023-09-28,1,2023-09-28,5.095290819099318e-05,0.0015159095603688145,0.03361210294009661,0.0014649566521778212
0,JNJ,2024-07-17,2024-07-17,1,2024-07-17,5.330585130802016e-05,0.0015159095603688145,0.03516426883345934,0.0014626037090607943
0,CSCO,2024-04-09,2024-04-09,1,2024-04-09,6.478393703825228e-05,0.0015159095603688145,0.0427360171951753,0.0014511256233305622
0,MA,2024-11-06,2024-11-06,1,2024-11-06,6.490395151702519e-05,0.0015159095603688145,0.04281518714166189,0.0014510056088517893
0,UNH,2023-12-14,2023-12-14,1,2023-12-14,6.517921054864928e-05,0.0015159095603688145,0.04299676725621511,0.0014507303498201651
0,AVGO,2023-05-02,2023-05-02,1,2023-05-02,6.660857793197769e-05,0.0015159095603688145,0.04393967798169444,0.0014493009824368367
0,DE,2024-11-08,2024-11-08,1,2024-11-08,6.696095222954075e-05,0.0015159095603688145,0.044172128720693225,0.0014489486081392738
0,CVX,2023-01-26,2023-01-26,1,2023-01-26,7.425261922916808e-05,0.0015159095603688145,0.04898222240323013,0.0014416569411396464
0,DHR,2023-07-27,2023-07-27,1,2023-07-27,7.552181918981659e-05,0.0015159095603688145,0.049819475491296755,0.001440387741178998
0,LNT,2024-11-11,2024-11-11,1,2024-11-11,7.900024247646798e-05,0.0015159095603688145,0.052114086843840175,0.0014369093178923464
0,LOW,2024-11-25,2024-11-25,1,2024-11-25,7.91612416105636e-05,0.0015159095603688145,0.05222029313628974,0.001436748318758251
0,TMUS,2024-05-31,2024-05-31,1,2024-05-31,7.941330853403391e-05,0.0015159095603688145,0.05238657411377034,0.0014364962518347805
0,COST,2024-11-08,2024-11-08,1,2024-11-08,7.988436345840455e-05,0.0015159095603688145,0.05269731489718227,0.00143602519691041
0,MA,2024-07-31,2024-07-31,1,2024-07-31,8.235377973733193e-05,0.0015159095603688145,0.054326314636669745,0.0014335557806314826
0,WFC,2023-03-07,2023-03-07,1,2023-03-07,8.376212533469449e-05,0.0015159095603688145,0.05525535792142871,0.00143214743503412
0,MMM,2024-10-28,2024-10-28,1,2024-10-28,8.73182204991786e-05,0.0015159095603688145,0.05760120707856374,0.0014285913398696358
0,MCD,2024-07-29,2024-07-29,1,2024-07-29,9.073589637864644e-05,0.0015159095603688145,0.0598557451914023,0.001425173663990168
0,TMUS,2024-06-12,2024-06-12,1,2024-06-12,9.228337068520888e-05,0.0015159095603688145,0.060876567506280996,0.0014236261896836055
0,XOM,2024-04-26,2024-04-26,1,2024-04-26,9.233847936987636e-05,0.0015159095603688145,0.060912921050125704,0.001423571080998938
0,AOS,2023-06-02,2023-06-02,1,2023-06-02,0.0001014409173497,0.0015159095603688145,0.06691752595387013,0.0014144686430191144
0,MRK,2023-01-09,2023-01-09,1,2023-01-09,0.0001062929775798,0.0015159095603688145,0.07011828433481175,0.0014096165827890144
0,ALLE,2023-10-18,2023-10-18,1,2023-10-18,0.0001077710810629,0.0015159095603688145,0.07109334480130843,0.0014081384793059144
0,LW,2024-11-15,2024-11-15,1,2024-11-15,0.0001121157956731,0.0015159095603688145,0.0739594225171472,0.0014037937646957145
0,CVX,2023-10-11,2023-10-11,1,2023-10-11,0.0001139991542875,0.0015159095603688145,0.07520181762015175,0.0014019104060813145
0,GOOG,2024-11-21,2024-11-21,1,2024-11-21,0.0001141082141623,0.0015159095603688145,0.07527376114346686,0.0014018013462065145
0,MA,2024-07-10,2024-07-10,1,2024-07-10,0.0001160822297454,0.0015159095603688145,0.07657595992544415,0.0013998273306234145
0,RTX,2024-11-14,2024-11-14,1,2024-11-14,0.0001162717302349,0.0015159095603688145,0.07670096770589109,0.0013996378301339145
0,LIN,2023-07-05,2023-07-05,1,2023-07-05,0.0001163854083245,0.0015159095603688145,0.07677595772678149,0.0013995241520443145
0,JNJ,2023-01-09,2023-01-09,1,2023-01-09,0.0001169459341326,0.0015159095603688145,0.07714571976454027,0.0013989636262362144
0,CMCSA,2024-11-06,2024-11-06,1,2024-11-06,0.0001219022895288,0.0015159095603688145,0.08041527853359648,0.0013940072708400145
0,ALL,2023-07-20,2023-07-20,1,2023-07-20,0.0001227302972708,0.0015159095603688145,0.08096149036815906,0.0013931792630980145
