ticker,start,end,missed_seeds,n_missed_seeds,days,mean_score_ratio,max_score
IBM,2023-09-26,2023-09-26,"0,1,2",3,1,0.022016801206881337,0.0001069318209374
PM,2024-11-06,2024-11-06,"0,1,2",3,1,0.02366399748078923,9.27295546525305e-05
ALL,2023-01-19,2023-01-19,"0,1,2",3,1,0.031785749997724724,0.0001695060594405
COST,2023-11-16,2023-11-16,"0,1,2",3,1,0.036696818490231264,0.0001250644664651
MA,2024-11-06,2024-11-06,"0,1,2",3,1,0.03913272144569718,0.0001893872136669
JNJ,2023-01-09,2023-01-09,"0,1,2",3,1,0.051390993179047016,0.0001815019000787
UNH,2023-12-14,2023-12-14,"0,1,2",3,1,0.05380003189544893,0.0002519720642036
PG,2024-11-08,2024-11-08,"0,1,2",3,1,0.05566796118644174,0.0001648588308348
AOS,2023-06-02,2023-06-02,"0,1,2",3,1,0.05807586467069121,0.0001613244329898
WFC,2023-03-07,2023-03-07,"0,1,2",3,1,0.05811317298184535,0.0002923186181181
LOW,2024-11-25,2024-11-25,"0,1,2",3,1,0.05842620604404325,0.0003081125579774
CSCO,2024-04-09,2024-04-09,"0,1,2",3,1,0.05930531313897545,0.0002518579240131
LMT,2024-10-01,2024-10-01,"0,1,2",3,1,0.06052143310434414,0.0001663107673569
MA,2024-07-10,2024-07-10,"0,1,2",3,1,0.06841246440347047,0.0003006814644019
MRK,2023-03-06,2023-03-06,"0,1,2",3,1,0.07499413349788421,0.0002239885598523
GS,2023-11-03,2023-11-03,"0,1,2",3,1,0.07502935154447887,0.0003887737141061
UNH,2024-01-12,2024-01-12,"0,1,2",3,1,0.07547261300217113,0.0002249252591961
MMM,2024-10-28,2024-10-28,"0,1,2",3,1,0.07801026596903061,0.0004303432237874
LNT,2024-11-11,2024-11-11,"0,1,2",3,1,0.07968475770222398,0.0004123567279228
ALL,2024-07-18,2024-07-18,"0,1,2",3,1,0.08381411253492037,0.0003162776637812
UNH,2024-11-06,2024-11-06,"0,1,2",3,1,0.0850493609838755,0.0005529627730873
MA,2024-07-31,2024-07-31,"0,1,2",3,1,0.08545122645053492,0.0005457479778366
PG,2024-08-01,2024-08-01,"0,1,2",3,1,0.08606026670361033,0.0002383821954329
CVX,2024-06-03,2024-06-03,"0,1,2",3,1,0.0875734710810425,0.0002450109921786
JPM,2024-08-02,2024-08-02,"0,1,2",3,1,0.09392407528150155,0.0003802725943084
DHR,2023-07-27,2023-07-27,"0,1,2",3,1,0.09487635784426428,0.0004391213489725
ALL,2023-07-20,2023-07-20,"0,1,2",3,1,0.09664666179561769,0.00053884578568
RCL,2024-08-02,2024-08-02,"0,1,2",3,1,0.10028704150233285,0.0003144505414335
CVX,2023-10-23,2023-10-23,"0,1,2",3,1,0.10172193925222661,0.0006919739525377
BKNG,2024-07-25,2024-07-25,"0,1,2",3,1,0.103500384607841,0.0004818383788612
XOM,2024-04-26,2024-04-26,"0,1,2",3,1,0.10906514707634185,0.0005196637127179
LEN,2024-11-25,2024-11-25,"0,1,2",3,1,0.1113864586827843,0.0004402303259121
INTC,2024-07-08,2024-07-08,"0,1,2",3,1,0.12316131257446089,0.000579045705308
ARE,2024-07-24,2024-07-24,"0,1,2",3,1,0.12541970857153484,0.0004544234123992
CVX,2023-10-11,2023-10-11,"0,1,2",3,1,0.1264450466815745,0.0004310545460678
UNH,2024-12-05,2024-12-05,"0,1,2",3,1,0.13928175362576642,0.0008068951331855
INTU,2024-05-30,2024-05-30,"0,1,2",3,1,0.14524406529387032,0.000396015112589
JPM,2023-03-15,2023-03-15,"0,1,2",3,1,0.15275263533841635,0.0004265564574961
ALLE,2023-12-08,2023-12-08,"0,1,2",3,1,0.15360614023725008,0.0005589516057322
MCD,2024-07-29,2024-07-29,"0,1,2",3,1,0.1547522365902718,0.0008419221837054
CPB,2023-10-13,2023-10-13,"0,1,2",3,1,0.15710478509984804,0.0005091216199313
TMUS,2024-06-12,2024-06-12,"0,1,2",3,1,0.15725491592721522,0.0006819537403619
ALB,2024-08-15,2024-08-15,"0,1,2",3,1,0.162369145295258,0.0004475117642869
DE,2024-11-08,2024-11-08,"0,1,2",3,1,0.1627968279563829,0.0011054831900562
AVGO,2023-05-02,2023-05-02,"0,1,2",3,1,0.16479375538376437,0.0010759788280362
BLK,2023-11-02,2023-11-02,"0,1,2",3,1,0.16565640866260015,0.0004791632841564
RCL,2024-08-06,2024-08-06,"0,1,2",3,1,0.1672092863962715,0.0004776287622613
WFC,2023-03-09,2023-03-09,"0,1,2",3,1,0.17078212836706294,0.0005900924511281
COF,2024-06-11,2024-06-11,"0,1,2",3,1,0.17286191716245572,0.0010306665149983
INTU,2024-11-06,2024-11-06,"0,1,2",3,1,0.1753888843547398,0.0009508973041527
INTU,2024-11-19,2024-11-19,"0,1,2",3,1,0.1786235453054564,0.0006566658251766
DE,2023-12-13,2023-12-13,"0,1,2",3,1,0.17890498441906552,0.0006274891065307
LW,2024-12-13,2024-12-13,"0,1,2",3,1,0.17980969984026118,0.0007758749895098
GS,2024-03-21,2024-03-21,"0,1,2",3,1,0.18237830653943968,0.0006808991360458
LIN,2024-02-06,2024-02-06,"0,1,2",3,1,0.18795696276937077,0.0004860759691534
LIN,2023-07-05,2023-07-05,"0,1,2",3,1,0.19885149420648948,0.0010450907893755
GOOG,2024-11-21,2024-11-21,"0,1,2",3,1,0.19891552662700038,0.0007344545393371
CMCSA,2024-11-06,2024-11-06,"0,1,2",3,1,0.20251328608305896,0.0008631644395791
UNH,2023-04-03,2023-04-03,"0,1,2",3,1,0.20815491281127363,0.0013524353945589
C,2024-01-30,2024-01-30,"0,1,2",3,1,0.2238640754591854,0.0010859891483354
DHI,2024-07-11,2024-07-11,"0,1,2",3,1,0.22975925882343975,0.0012404417604557
ACN,2024-10-30,2024-10-30,"0,1,2",3,1,0.23004436171860673,0.0011593157981879
ADBE,2023-05-25,2023-05-25,"0,1,2",3,1,0.23081022053577693,0.0005573290811904
BAC,2024-08-02,2024-08-02,"0,1,2",3,1,0.23718782658284587,0.0006923875058419
MRK,2023-08-23,2023-08-23,"0,1,2",3,1,0.23891619152226262,0.0012019647729175
MO,2024-02-01,2024-02-01,"0,1,2",3,1,0.24044905069900355,0.0008254847808226
PG,2023-10-18,2023-10-18,"0,1,2",3,1,0.24338807179924885,0.0010141973910018
ADBE,2024-02-16,2024-02-16,"0,1,2",3,1,0.2616899119883021,0.001001083280001
JNJ,2023-07-31,2023-07-31,"0,1,2",3,1,0.26226869777779566,0.0016151157248846
BMY,2024-10-31,2024-10-31,"0,1,2",3,1,0.26277609171461164,0.0017488738840689
PM,2023-09-28,2023-09-28,"0,1,2",3,1,0.26508917833662166,0.0018526479466042
ABNB,2024-02-15,2024-02-15,"0,1,2",3,1,0.2724126665881691,0.0007172859479699
GE,2024-03-07,2024-03-07,"0,1,2",3,1,0.2803071377886949,0.0007092364297326
AES,2024-11-06,2024-11-06,"0,1,2",3,1,0.28624792505976654,0.0012358765961835
EL,2024-08-13,2024-08-13,"0,1,2",3,1,0.28673012242237234,0.000872640362589
MRK,2023-01-09,2023-01-09,"0,1,2",3,1,0.29538763124745077,0.0018342954106628
DE,2023-04-05,2023-04-05,"0,1,2",3,1,0.30651051519358247,0.0010664163254508
RTX,2024-11-14,2024-11-14,"0,1,2",3,1,0.30939590506835807,0.0015259373958542
LMT,2023-09-06,2023-09-06,"0,1,2",3,1,0.312620635536878,0.0017784258507466
DHR,2024-10-22,2024-10-22,"0,1,2",3,1,0.3130580147992766,0.0011795140667438
LIN,2023-02-07,2023-02-07,"0,1,2",3,1,0.31826111196132906,0.0019781127059832
