ticker,start,end,n_missed_seeds,missed_seeds,mean_score_ratio,miss_type_50,miss_type_75,label_return_abs_z3,label_volume_z2,label_volratio_1p5,panel_return_extreme,panel_volume_extreme,panel_gap_extreme,max_abs_z_return,max_volume_z,max_vol_ratio_5_20,max_abs_gap,max_abs_log_return_1d,peak_return_date
IBM,2023-09-26,2023-09-26,3,"0,1,2",0.0220168012068813,hard_miss,hard_or_mid,True,False,True,False,False,False,3.036954821320981,0.7824668071813318,1.6085364068382326,0.0066221583691884,0.0223673736856787,2023-09-26
PM,2024-11-06,2024-11-06,3,"0,1,2",0.0236639974807892,hard_miss,hard_or_mid,True,True,False,True,False,False,3.63435542086944,2.0920831780816083,0.8855653184457916,0.0059761887220454,0.0534496590159375,2024-11-06
ALL,2023-01-19,2023-01-19,3,"0,1,2",0.0317857499977247,hard_miss,hard_or_mid,True,True,False,True,False,True,4.259989740870168,2.9832259630745805,1.3155556871844645,0.048176455178834,0.0606247140723773,2023-01-19
COST,2023-11-16,2023-11-16,3,"0,1,2",0.0366968184902312,hard_miss,hard_or_mid,True,True,False,False,False,True,3.2409242282945234,2.001967092366509,1.463393779069879,0.0174268713725958,0.0309717034538926,2023-11-16
MA,2024-11-06,2024-11-06,3,"0,1,2",0.0391327214456971,hard_miss,hard_or_mid,True,False,True,False,False,True,3.23088507596522,1.8076516862929848,1.731951173766702,0.0302633623625747,0.0303327378161429,2024-11-06
JNJ,2023-01-09,2023-01-09,3,"0,1,2",0.051390993179047,hard_miss,hard_or_mid,True,False,True,False,False,False,3.148109526943334,0.7315203658973624,1.500782351524029,0.0052702404557004,0.0262497848661632,2023-01-09
UNH,2023-12-14,2023-12-14,3,"0,1,2",0.0538000318954489,hard_miss,hard_or_mid,True,True,False,False,False,False,3.0633025730325323,2.435033030482627,1.1261326933968674,0.0085790635740259,0.0272714606749351,2023-12-14
PG,2024-11-08,2024-11-08,3,"0,1,2",0.0556679611864417,hard_miss,hard_or_mid,True,False,True,False,False,False,3.0107415918083444,0.5755975501160039,1.7024668074076068,0.003733007790277,0.0259739971282341,2024-11-08
AOS,2023-06-02,2023-06-02,3,"0,1,2",0.0580758646706912,hard_miss,hard_or_mid,True,False,True,True,False,False,4.010864914532658,0.7116332763456495,1.631487679095377,0.0133168153982597,0.0576142627281168,2023-06-02
WFC,2023-03-07,2023-03-07,3,"0,1,2",0.0581131729818453,hard_miss,hard_or_mid,True,False,True,False,False,False,4.024393318494902,1.208643851951862,1.5072395327766086,0.0094361236790068,0.0478792415461379,2023-03-07
LOW,2024-11-25,2024-11-25,3,"0,1,2",0.0584262060440432,hard_miss,hard_or_mid,True,True,True,False,False,False,3.073872185055858,2.1659449272739195,1.5308538014477904,0.0160948690235531,0.0394124884800284,2024-11-25
CSCO,2024-04-09,2024-04-09,3,"0,1,2",0.0593053131389754,hard_miss,hard_or_mid,True,False,True,False,False,False,3.7720833238297895,1.2507747129132518,1.6027341262638006,0.0124376500194319,0.0360342373787945,2024-04-09
LMT,2024-10-01,2024-10-01,3,"0,1,2",0.0605214331043441,hard_miss,hard_or_mid,True,True,False,True,False,False,3.159806719975654,2.4690604279978934,1.2483169973979222,0.0026686594305381,0.0357894785415687,2024-10-01
MA,2024-07-10,2024-07-10,3,"0,1,2",0.0684124644034704,hard_miss,hard_or_mid,True,True,False,False,False,True,3.127661459029467,2.5381539606425294,1.163596082366157,0.0226895703538593,0.0251852527401979,2024-07-10
MRK,2023-03-06,2023-03-06,3,"0,1,2",0.0749941334978842,hard_miss,hard_or_mid,True,True,False,True,False,False,3.147885160200324,2.480482492396812,1.4868763920205368,0.0072979341337663,0.0387239688334135,2023-03-06
GS,2023-11-03,2023-11-03,3,"0,1,2",0.0750293515444788,hard_miss,hard_or_mid,True,True,False,False,False,False,3.387681529426767,2.101119495324129,0.7921605202346144,0.0149795911032475,0.043226038680974,2023-11-03
UNH,2024-01-12,2024-01-12,3,"0,1,2",0.0754726130021711,hard_miss,hard_or_mid,True,True,False,False,False,True,3.785319790794725,2.6934035075674254,1.136586238709287,0.038578668714232,0.0342481366255615,2024-01-12
MMM,2024-10-28,2024-10-28,3,"0,1,2",0.0780102659690306,hard_miss,hard_or_mid,True,False,True,False,False,False,3.9267515447950783,1.2119069906982949,1.826809389923336,0.0152305167150439,0.0434509919624554,2024-10-28
LNT,2024-11-11,2024-11-11,3,"0,1,2",0.0796847577022239,hard_miss,hard_or_mid,True,True,False,True,False,False,3.2919506940164807,2.563882096493983,1.2038633633642382,0.0005195663385621,0.0368870661500925,2024-11-11
ALL,2024-07-18,2024-07-18,3,"0,1,2",0.0838141125349203,hard_miss,hard_or_mid,True,True,False,False,False,False,3.1525495337145344,2.1428330440129364,0.8173782647466985,0.0164030805887868,0.0344892024016647,2024-07-18
UNH,2024-11-06,2024-11-06,3,"0,1,2",0.0850493609838755,hard_miss,hard_or_mid,True,True,False,True,False,True,3.6055262187581136,2.7931119825300628,0.930600449842762,0.0650230322433146,0.0509854833459009,2024-11-06
MA,2024-07-31,2024-07-31,3,"0,1,2",0.0854512264505349,hard_miss,hard_or_mid,True,True,False,True,False,True,3.8363547178800697,2.125293999915653,0.9891732987721722,0.0325175136555516,0.035694455411459,2024-07-31
