ticker,rows,labels,return_extremes,volume_extremes,gap_extremes,preds,threshold,max_score,tp,fp,fn,return_std,volume_std,gap_std
ABBV,502,14,7,8,4,6,0.0007027029677006726,0.0488977883543287,5,1,9,0.013920690630824744,1.1314715115693907,0.0073102188523048285
ABNB,502,11,4,10,6,5,0.0008148812936993941,0.0265752527241905,5,0,6,0.02405085169103703,1.1281936709867721,0.015455281965538307
ADBE,502,16,9,11,7,6,0.0014044335142018355,0.069786579037706,6,0,10,0.021857258044371972,1.1639549632804036,0.01517071299385587
AFL,502,19,8,11,6,6,0.0005015421463752087,0.0113547601581861,6,0,13,0.012814049206470366,1.0711159421952194,0.00733419342338808
AKAM,502,9,7,8,7,6,0.001193251136345359,0.0385205507174962,6,0,3,0.01730410821318901,1.1009880938764591,0.009512992677836823
ALB,502,12,5,7,6,6,0.0013489213157001087,0.0543742654883923,5,1,7,0.03340417689727133,1.1391548183712203,0.017805898886958355
ALL,502,23,7,6,13,6,0.00030553223774851707,0.0009852059461991,6,0,17,0.015100305303347232,1.0641183785169868,0.007693024301685178
AMD,502,14,9,3,8,6,0.0023843176578659283,0.0246751119144434,6,0,8,0.029814190408101824,1.1144889902860464,0.016160346771125354
AOS,502,12,6,6,6,5,0.001134102297574553,0.0352940957682828,5,0,7,0.01628523235712891,1.0887955845437842,0.009215669748031539
APD,502,11,8,5,6,6,0.0010785304146156683,0.1532844673842191,6,0,5,0.01700897104227173,1.1290193633623755,0.010587640472738016
APTV,502,11,7,7,6,6,0.0019969206638523296,0.0290916012444843,4,2,7,0.022838313258123834,1.1003799194659745,0.01532448258905353
BAC,502,21,9,9,11,6,0.0005479268590921421,0.0021897420148424,5,1,16,0.015606433428249833,1.1443546629150319,0.009391794600941878
BKNG,502,12,4,6,8,6,0.0016958011954854007,0.025044419694071,4,2,8,0.0161854651472788,1.105354656361437,0.0110728934365335
BLDR,502,20,7,6,11,5,0.0017944454084587555,0.0106828786743183,5,0,15,0.026981553829305057,1.164112473781545,0.014872872514529479
CMCSA,502,19,6,10,9,6,0.0010558622485410103,0.0051099655684083,6,0,13,0.015174555238708488,1.087298092363816,0.008164091586212773
CMG,502,17,9,9,10,6,0.0006908664438075721,0.0164593742694705,6,0,11,0.017559974031684772,1.1546302843245386,0.010696528793569431
COF,502,14,4,6,9,6,0.0008417276201907701,0.0259815492395622,6,0,8,0.019487490532973717,1.0989602241291316,0.013128432167494918
CSCO,502,20,8,11,7,6,0.000843631766139855,0.0018792180916837,6,0,14,0.01216360136498144,1.0955455318815432,0.00870879282498405
