ticker,rows,labels,return_extremes,volume_extremes,gap_extremes,preds,threshold,max_score,tp,fp,fn,return_std,volume_std,gap_std
AFL,502,19,8,11,6,6,0.000895121248492738,0.0241372548664609,5,1,14,0.012814049206470366,1.0711159421952194,0.00733419342338808
AKAM,502,9,7,8,7,6,0.002725266308365361,0.3783474415540695,6,0,3,0.01730410821318901,1.1009880938764591,0.009512992677836823
ALB,502,12,5,7,6,6,0.0038414922083417134,0.4484378308057785,4,2,8,0.03340417689727133,1.1391548183712203,0.017805898886958355
ALGN,502,10,5,7,6,6,0.0051986434336021735,4.5975627785238125,6,0,4,0.02997232485393454,1.130785804252185,0.020788132178965326
ALL,502,23,7,6,13,6,0.0006322291285635603,0.0041545932091629,6,0,17,0.015100305303347232,1.0641183785169868,0.007693024301685178
APD,502,11,8,5,6,6,0.000954842495009182,0.4074025859435399,6,0,5,0.01700897104227173,1.1290193633623755,0.010587640472738016
APTV,502,11,7,7,6,6,0.007805640534342539,0.546912547378313,6,0,5,0.022838313258123834,1.1003799194659745,0.01532448258905353
AVGO,502,14,9,8,5,6,0.0026973716213645957,1.4248314996560414,5,1,9,0.027327212513621704,1.1588508545098906,0.016807883011122814
BAC,502,21,9,9,11,6,0.0016979381793618851,0.0375694777865551,6,0,15,0.015606433428249833,1.1443546629150319,0.009391794600941878
BBY,502,13,4,10,6,6,0.0035912047235372086,0.2020385435471932,5,1,8,0.018385964632880954,1.094445185593322,0.012672642393481617
BLDR,502,20,7,6,11,6,0.005340053814144319,0.2209949900706609,5,1,15,0.026981553829305057,1.164112473781545,0.014872872514529479
BMY,502,16,6,8,7,6,0.0033688154928916635,0.2248132089773813,6,0,10,0.015277608762845625,1.1395366371280733,0.008615014468251544
CMCSA,502,19,6,10,9,6,0.0017776019674944437,0.107897933324178,6,0,13,0.015174555238708488,1.087298092363816,0.008164091586212773
CMG,502,17,9,9,10,6,0.002053144486581286,0.177713316756611,6,0,11,0.017559974031684772,1.1546302843245386,0.010696528793569431
CRM,502,12,6,10,6,6,0.004152521693686242,1.7461317658424378,6,0,6,0.020997944706709813,1.164953978839045,0.01648763919436391
CSCO,502,20,8,11,7,6,0.0016714843826021763,0.0243232624605298,6,0,14,0.01216360136498144,1.0955455318815432,0.00870879282498405
