ticker,rows,labels,return_extremes,volume_extremes,gap_extremes,preds,threshold,max_score,tp,fp,fn,return_std,volume_std,gap_std
ABBV,502,14,7,8,4,6,0.0048151565376683735,0.0378670460508706,2,4,12,0.013920690630824744,1.1314715115693907,0.0073102188523048285
ADBE,502,16,9,11,7,6,0.00444900306742662,0.0231868828646838,2,4,14,0.021857258044371972,1.1639549632804036,0.01517071299385587
AFL,502,19,8,11,6,6,0.0016169668047989359,0.0037627552500149,2,4,17,0.012814049206470366,1.0711159421952194,0.00733419342338808
ALGN,502,10,5,7,6,6,0.00605955326858564,0.1156282030807977,3,3,7,0.02997232485393454,1.130785804252185,0.020788132178965326
ALL,502,23,7,6,13,6,0.002305965857976255,0.0080961958951472,4,2,19,0.015100305303347232,1.0641183785169868,0.007693024301685178
AVGO,502,14,9,8,5,6,0.006940192922207635,0.0180083821926798,3,3,11,0.027327212513621704,1.1588508545098906,0.016807883011122814
BAC,502,21,9,9,11,6,0.0028115116300941145,0.0053213205121989,3,3,18,0.015606433428249833,1.1443546629150319,0.009391794600941878
BBY,502,13,4,10,6,6,0.004532446467740673,0.0393659023024762,1,5,12,0.018385964632880954,1.094445185593322,0.012672642393481617
BKNG,502,12,4,6,8,6,0.0020483199218878107,0.0286189634740973,2,4,10,0.0161854651472788,1.105354656361437,0.0110728934365335
BLDR,502,20,7,6,11,5,0.004496944080089911,0.0210347081534564,1,4,19,0.026981553829305057,1.164112473781545,0.014872872514529479
BMY,502,16,6,8,7,6,0.004677533561572351,0.0996181696032484,3,3,13,0.015277608762845625,1.1395366371280733,0.008615014468251544
CLX,502,11,8,9,8,6,0.0025512601989721184,0.0222515572850603,1,5,10,0.014061161909665016,1.1011575504622233,0.009566798092205555
CMCSA,502,19,6,10,9,6,0.0019359251685106614,0.0058611137967091,3,3,16,0.015174555238708488,1.087298092363816,0.008164091586212773
COP,502,17,6,9,8,6,0.004279585734514167,0.0200742024734305,5,1,12,0.016258472877417406,1.1499757896082932,0.009441551400275973
CSCO,502,20,8,11,7,6,0.0019806808315418595,0.0054013563484962,1,5,19,0.01216360136498144,1.0955455318815432,0.00870879282498405
CVS,502,13,8,5,9,6,0.0032812768664018574,0.0664175405477484,3,3,10,0.019817495046276046,1.1366747295855657,0.01336235145811979
CVX,502,18,7,9,8,6,0.0019334739431699794,0.0051723091649667,4,2,14,0.013430978947415477,1.1221264132677382,0.007574554923423563
EL,502,8,7,6,5,6,0.011104818758574971,0.0570785936589042,3,3,5,0.027512768558586656,1.1036871190445254,0.02153859136413431
EMR,502,14,9,8,8,6,0.002342768197937309,0.0179746776353567,3,3,11,0.015444964125167708,1.084444794516362,0.010368249692811646
FDX,502,13,6,12,7,5,0.006257922155627333,0.0287195128990182,2,3,11,0.01820245773805882,1.1420411577752556,0.013800603053265402
GE,502,19,12,7,10,6,0.0017846616917910044,0.0065929319049852,1,5,18,0.017305965346190402,1.1302692546352466,0.008219088750463035
GILD,502,19,4,11,11,6,0.002240288324712287,0.0063439363342088,4,2,15,0.014283618641264028,1.086986811349423,0.007473535843790029
GOOG,502,19,6,7,14,6,0.002065594197915223,0.0079162933669673,0,6,19,0.01836439653196207,1.1132192142256905,0.013007510388056268
HON,502,19,8,8,10,6,0.0019071998417287339,0.0051438333342957,3,3,16,0.01144755605188275,1.1115961072688603,0.007156653536608716
JPM,502,22,10,9,11,6,0.001730576619264125,0.0061018007341772,3,3,19,0.013887416916457286,1.12993410152383,0.00769016465723481
KO,502,14,4,7,5,6,0.0032137042325630044,0.0208931816120942,5,1,9,0.008280586753919478,1.1386832178023356,0.004179242010668867
LEN,502,22,5,11,12,6,0.0046896038919930294,0.0122885678817207,3,3,19,0.018423304448875855,1.096693720189186,0.012045881195775541
LIN,502,18,11,7,11,5,0.0019379885956198278,0.0052218168547066,2,3,16,0.01095633410737141,1.1534560284250266,0.007518000752447891
LMT,502,20,8,11,7,6,0.0027475348457712662,0.0096054330933839,4,2,16,0.011022808947978973,1.0911826792558985,0.00562608497651814
