ticker,rows,labels,return_extremes,volume_extremes,gap_extremes,preds,threshold,max_score,tp,fp,fn,return_std,volume_std,gap_std
AAPL,502,16,7,10,6,6,0.010997604492009577,0.382334753870964,6,0,10,0.013516525510089347,1.130977926548224,0.009463986990297229
ABNB,502,11,4,10,6,6,0.025107744060456853,0.2632201962793867,6,0,5,0.02405085169103703,1.1281936709867721,0.015455281965538307
AKAM,502,9,7,8,7,6,0.0063287135409239,0.0605868925650914,5,1,4,0.01730410821318901,1.1009880938764591,0.009512992677836823
ALB,502,12,5,7,6,6,0.02899427436167998,0.4818207601706187,6,0,6,0.03340417689727133,1.1391548183712203,0.017805898886958355
ALGN,502,10,5,7,6,6,0.03839172572921967,1.5430363178253177,6,0,4,0.02997232485393454,1.130785804252185,0.020788132178965326
ALL,502,23,7,6,13,6,0.008187252517323867,0.0465025993374486,6,0,17,0.015100305303347232,1.0641183785169868,0.007693024301685178
BAC,502,21,9,9,11,6,0.0070539247575991835,0.0339990413126846,6,0,15,0.015606433428249833,1.1443546629150319,0.009391794600941878
BLDR,502,20,7,6,11,6,0.015607039550316799,0.2575767278671265,5,1,15,0.026981553829305057,1.164112473781545,0.014872872514529479
CRM,502,12,6,10,6,6,0.02340798360854389,0.3304731905460357,6,0,6,0.020997944706709813,1.164953978839045,0.01648763919436391
CSCO,502,20,8,11,7,6,0.014439320517781502,0.0911594117681185,6,0,14,0.01216360136498144,1.0955455318815432,0.00870879282498405
CVS,502,13,8,5,9,6,0.026448333958319182,0.100148922825853,6,0,7,0.019817495046276046,1.1366747295855657,0.01336235145811979
DLTR,502,11,6,7,8,6,0.014764951247178642,0.4027807861566543,4,2,7,0.023723402942329372,1.1091854460773911,0.013617713256749585
EL,502,8,7,6,5,6,0.05078036365658067,1.1306243936220806,5,1,3,0.027512768558586656,1.1036871190445254,0.02153859136413431
INTC,502,13,6,4,10,5,0.01709261907419812,2.2138134161631267,5,0,8,0.029506833866785896,1.087692338996587,0.018718048371396748
JPM,502,22,10,9,11,6,0.011127731015063126,0.0510391958678762,6,0,16,0.013887416916457286,1.12993410152383,0.00769016465723481
LEN,502,22,5,11,12,6,0.021686734063706036,0.0541423400087902,6,0,16,0.018423304448875855,1.096693720189186,0.012045881195775541
LLY,502,13,7,7,8,6,0.018377252826389592,0.4129207094510396,6,0,7,0.018403490961089394,1.095673111555997,0.013406078989285081
LMT,502,20,8,11,7,6,0.011308251790857532,0.0482553929090499,6,0,14,0.011022808947978973,1.0911826792558985,0.00562608497651814
LNT,502,21,4,10,9,6,0.0044560059569799726,0.0758814023807644,4,2,17,0.011948801715546057,1.11843928891792,0.005873517218117607
LW,502,12,6,9,6,6,0.03066793812043038,5.004356956481933,5,1,7,0.026637919294547414,1.1795639264912294,0.017041678558121717
MRK,502,21,6,9,11,6,0.010391918192695124,0.0589333840403317,6,0,15,0.012678451388677734,1.1525350953467188,0.006526724939870723
NVDA,502,10,6,3,7,6,0.025123135967568194,0.652495002746582,6,0,4,0.031153721547726842,1.1186429961877882,0.021393672557055772
PHM,502,22,9,7,10,6,0.009295029394173317,0.0272483849121878,6,0,16,0.019126095076413056,1.0781876718039853,0.011969516942212821
TGT,502,11,5,9,7,6,0.04980510012401909,1.7106433788935342,6,0,5,0.021789721537354693,1.244119876116802,0.01635425165569037
TMO,502,21,7,6,12,6,0.005200706889367816,0.089404127234593,6,0,15,0.01348719565328771,1.1194730626013374,0.008995621822306772
V,502,22,5,11,9,6,0.00913210875362461,0.0356518711362566,5,1,17,0.010225863626820696,1.1062792201888116,0.006435380247390017
