ticker,rows,labels,return_extremes,volume_extremes,gap_extremes,preds,threshold,max_score,tp,fp,fn,return_std,volume_std,gap_std
AKAM,502,9,7,8,7,6,0.013449747370774303,0.0970078997554317,6,0,3,0.01730410821318901,1.1009880938764591,0.009512992677836823
ALGN,502,10,5,7,6,6,0.027662933433892548,2.885197615623474,6,0,4,0.02997232485393454,1.130785804252185,0.020788132178965326
ALL,502,23,7,6,13,6,0.003023456626016545,0.0171293756709649,5,1,18,0.015100305303347232,1.0641183785169868,0.007693024301685178
AVGO,502,14,9,8,5,6,0.00693325907847603,1.177638868490855,5,1,9,0.027327212513621704,1.1588508545098906,0.016807883011122814
BAC,502,21,9,9,11,6,0.008163631817999102,0.0395838170263328,6,0,15,0.015606433428249833,1.1443546629150319,0.009391794600941878
BLDR,502,20,7,6,11,6,0.009207384881568338,0.4541985486944516,6,0,14,0.026981553829305057,1.164112473781545,0.014872872514529479
CRM,502,12,6,10,6,6,0.026469641438939557,2.0276847819487256,6,0,6,0.020997944706709813,1.164953978839045,0.01648763919436391
CSCO,502,20,8,11,7,6,0.011479448496726627,0.3845853241781393,6,0,14,0.01216360136498144,1.0955455318815432,0.00870879282498405
CVS,502,13,8,5,9,6,0.01711040846077581,1.2222119987010955,6,0,7,0.019817495046276046,1.1366747295855657,0.01336235145811979
EL,502,8,7,6,5,6,0.004797391655965462,8.527950809115456,6,0,2,0.027512768558586656,1.1036871190445254,0.02153859136413431
EXPE,502,10,6,8,8,6,0.04673893994029581,1.6327106475830078,6,0,4,0.025497776793570973,1.119950816922282,0.016482533639307493
INTC,502,13,6,4,10,6,0.004563853967401818,2.5782416840394338,5,1,8,0.029506833866785896,1.087692338996587,0.018718048371396748
JPM,502,22,10,9,11,6,0.004975828823371212,0.0904702602575222,6,0,16,0.013887416916457286,1.12993410152383,0.00769016465723481
LEN,502,22,5,11,12,6,0.005092296778414762,0.0600888305304882,6,0,16,0.018423304448875855,1.096693720189186,0.012045881195775541
LMT,502,20,8,11,7,6,0.010166944047430095,0.080908459611237,6,0,14,0.011022808947978973,1.0911826792558985,0.00562608497651814
LNT,502,21,4,10,9,6,0.0015736922520067577,0.0080237586284056,3,3,18,0.011948801715546057,1.11843928891792,0.005873517218117607
LULU,502,13,9,9,8,6,0.06543686688086048,1.436133227745692,6,0,7,0.02259060107737534,1.1841513200579787,0.016461100985021824
LW,502,12,6,9,6,6,0.06759126356089665,1.1882319509983064,6,0,6,0.026637919294547414,1.1795639264912294,0.017041678558121717
META,502,12,5,8,7,6,0.01342526216467792,1.4008076895367017,6,0,6,0.023282536859538395,1.0947951921635908,0.018873309568397646
MRK,502,21,6,9,11,6,0.003821416837856034,0.0645068669691681,6,0,15,0.012678451388677734,1.1525350953467188,0.006526724939870723
NVDA,502,10,6,3,7,6,0.0043652738820090815,10.215918080012004,6,0,4,0.031153721547726842,1.1186429961877882,0.021393672557055772
PHM,502,22,9,7,10,6,0.0061249552739063165,0.0414720474587132,5,1,17,0.019126095076413056,1.0781876718039853,0.011969516942212821
PLTR,502,15,8,8,9,6,0.06152175967619576,7.1115845203399655,6,0,9,0.04049165129084636,1.1716023906169675,0.02665830955745777
TGT,502,11,5,9,7,6,0.01732020728132302,8.081961154937744,6,0,5,0.021789721537354693,1.244119876116802,0.01635425165569037
TMO,502,21,7,6,12,5,0.003537291852813092,0.0847625852872928,4,1,17,0.01348719565328771,1.1194730626013374,0.008995621822306772
V,502,22,5,11,9,6,0.0038215560872973935,0.0161436159008493,4,2,18,0.010225863626820696,1.1062792201888116,0.006435380247390017
