ticker,rows,labels,return_extremes,volume_extremes,gap_extremes,preds,threshold,max_score,tp,fp,fn,return_std,volume_std,gap_std
AKAM,502,9,7,8,7,6,0.029628005067579923,0.1906861150016387,6,0,3,0.01730410821318901,1.1009880938764591,0.009512992677836823
ALL,502,23,7,6,13,6,0.0009574095404119061,0.0112207445859288,6,0,17,0.015100305303347232,1.0641183785169868,0.007693024301685178
APD,502,11,8,5,6,6,0.009442344683730574,1.1821213364601135,6,0,5,0.01700897104227173,1.1290193633623755,0.010587640472738016
AVGO,502,14,9,8,5,5,0.0036036691155422267,0.0348512163540969,5,0,9,0.027327212513621704,1.1588508545098906,0.016807883011122814
BAC,502,21,9,9,11,6,0.0008280895044953862,0.0906918393907529,6,0,15,0.015606433428249833,1.1443546629150319,0.009391794600941878
BLDR,502,20,7,6,11,5,0.0018375486156251952,0.0890564184635877,4,1,16,0.026981553829305057,1.164112473781545,0.014872872514529479
COF,502,14,4,6,9,6,0.0015724898242187033,0.3015142360081275,4,2,10,0.019487490532973717,1.0989602241291316,0.013128432167494918
CSCO,502,20,8,11,7,6,0.0007824491002028809,0.1154233764139159,6,0,14,0.01216360136498144,1.0955455318815432,0.00870879282498405
EL,502,8,7,6,5,6,0.003524325474048881,0.8930207659800847,5,1,3,0.027512768558586656,1.1036871190445254,0.02153859136413431
EXPE,502,10,6,8,8,6,0.0029040676940833916,2.350796932913363,5,1,5,0.025497776793570973,1.119950816922282,0.016482533639307493
FDX,502,13,6,12,7,6,0.011337482149382884,0.6049574570996421,6,0,7,0.01820245773805882,1.1420411577752556,0.013800603053265402
INTC,502,13,6,4,10,6,0.004079258748065787,0.3081660033514102,5,1,8,0.029506833866785896,1.087692338996587,0.018718048371396748
JPM,502,22,10,9,11,6,0.0031134109881924203,0.060510503030137,6,0,16,0.013887416916457286,1.12993410152383,0.00769016465723481
LEN,502,22,5,11,12,6,0.0019503564990242036,0.0455513302236795,5,1,17,0.018423304448875855,1.096693720189186,0.012045881195775541
LMT,502,20,8,11,7,6,0.00425778649944666,0.178631795477122,6,0,14,0.011022808947978973,1.0911826792558985,0.00562608497651814
LNT,502,21,4,10,9,6,0.0006744968706794703,0.0231578787783898,4,2,17,0.011948801715546057,1.11843928891792,0.005873517218117607
META,502,12,5,8,7,6,0.032761327342873285,0.3268397541886026,6,0,6,0.023282536859538395,1.0947951921635908,0.018873309568397646
MHK,502,13,6,7,7,6,0.004658827389934831,0.4100693339562934,5,1,8,0.023699756168411606,1.1090946793133605,0.014203558662004342
MRK,502,21,6,9,11,6,0.0031880080892429845,0.0685482605670889,6,0,15,0.012678451388677734,1.1525350953467188,0.006526724939870723
NVDA,502,10,6,3,7,6,0.0016247329568011295,4.165347714473804,5,1,5,0.031153721547726842,1.1186429961877882,0.021393672557055772
ORCL,502,10,7,7,8,6,0.011752136074317016,0.6897473363826673,6,0,4,0.019680185950052255,1.1292393483553376,0.014346308853349947
PHM,502,22,9,7,10,6,0.001867461444571141,0.0349326663650572,5,1,17,0.019126095076413056,1.0781876718039853,0.011969516942212821
PLTR,502,15,8,8,9,6,0.012038798426355477,0.4871070794761181,4,2,11,0.04049165129084636,1.1716023906169675,0.02665830955745777
TMO,502,21,7,6,12,6,0.0011812918026358425,0.0173664283230512,5,1,16,0.01348719565328771,1.1194730626013374,0.008995621822306772
TSLA,502,14,7,3,12,6,0.005527076967626362,0.3653426191459099,3,3,11,0.03676236701836122,1.1843234386413584,0.023599382731974983
V,502,22,5,11,9,5,0.0011394142854340738,0.0078762037136281,4,1,18,0.010225863626820696,1.1062792201888116,0.006435380247390017
