ticker,rows,labels,return_extremes,volume_extremes,gap_extremes,preds,threshold,max_score,tp,fp,fn,return_std,volume_std,gap_std
ABNB,502,11,4,10,6,6,0.004687522624934549,0.2820386049932494,5,1,6,0.02405085169103703,1.1281936709867721,0.015455281965538307
ADBE,502,16,9,11,7,6,0.005955670587094548,0.2721073019963044,6,0,10,0.021857258044371972,1.1639549632804036,0.01517071299385587
AKAM,502,9,7,8,7,6,0.017407585821250373,0.1742177492124028,6,0,3,0.01730410821318901,1.1009880938764591,0.009512992677836823
ALB,502,12,5,7,6,6,0.009662620561877746,0.2974663901918878,4,2,8,0.03340417689727133,1.1391548183712203,0.017805898886958355
ALGN,502,10,5,7,6,6,0.006388139970962593,0.8816762864589691,4,2,6,0.02997232485393454,1.130785804252185,0.020788132178965326
ALL,502,23,7,6,13,6,0.0007717432378333223,0.066529412579257,6,0,17,0.015100305303347232,1.0641183785169868,0.007693024301685178
APTV,502,11,7,7,6,6,0.016622500765641823,0.2835437625646591,6,0,5,0.022838313258123834,1.1003799194659745,0.01532448258905353
AVGO,502,14,9,8,5,6,0.006616252087221322,0.1094932762595514,4,2,10,0.027327212513621704,1.1588508545098906,0.016807883011122814
BAC,502,21,9,9,11,6,0.0029656482808721224,0.0200866560304635,6,0,15,0.015606433428249833,1.1443546629150319,0.009391794600941878
BLDR,502,20,7,6,11,6,0.008131242948344745,0.2897674021238041,5,1,15,0.026981553829305057,1.164112473781545,0.014872872514529479
CSCO,502,20,8,11,7,6,0.0019764355667029995,0.1229547499989469,4,2,16,0.01216360136498144,1.0955455318815432,0.00870879282498405
EL,502,8,7,6,5,6,0.0029566937207527837,1.0073024074236552,3,3,5,0.027512768558586656,1.1036871190445254,0.02153859136413431
EXPE,502,10,6,8,8,6,0.023800895760166235,0.8716077618504642,6,0,4,0.025497776793570973,1.119950816922282,0.016482533639307493
JPM,502,22,10,9,11,6,0.0029761246919065153,0.0283621892057756,6,0,16,0.013887416916457286,1.12993410152383,0.00769016465723481
LEN,502,22,5,11,12,4,0.0020975736673395336,0.0082777311734389,3,1,19,0.018423304448875855,1.096693720189186,0.012045881195775541
LLY,502,13,7,7,8,6,0.011776858845385547,0.306203729690363,6,0,7,0.018403490961089394,1.095673111555997,0.013406078989285081
LMT,502,20,8,11,7,6,0.0013156965515693708,0.0367733560386113,5,1,15,0.011022808947978973,1.0911826792558985,0.00562608497651814
LNT,502,21,4,10,9,6,0.0006821299223018382,0.009607232896451,3,3,18,0.011948801715546057,1.11843928891792,0.005873517218117607
LULU,502,13,9,9,8,6,0.014740835013692008,0.3519355143730839,6,0,7,0.02259060107737534,1.1841513200579787,0.016461100985021824
MRK,502,21,6,9,11,6,0.001857618308063762,0.0385104291451474,4,2,17,0.012678451388677734,1.1525350953467188,0.006526724939870723
MU,502,10,4,8,5,6,0.003308065245313612,0.5783519544895778,6,0,4,0.02802857387722255,1.1387108767440879,0.020429875630462398
PHM,502,22,9,7,10,6,0.00583059973662971,0.0415107499808073,6,0,16,0.019126095076413056,1.0781876718039853,0.011969516942212821
TMO,502,21,7,6,12,6,0.0009920468312938108,0.0326436750879414,4,2,17,0.01348719565328771,1.1194730626013374,0.008995621822306772
V,502,22,5,11,9,6,0.0010634086868472965,0.009688175149533,3,3,19,0.010225863626820696,1.1062792201888116,0.006435380247390017
WFC,502,17,8,9,7,6,0.0028570386487129585,0.3005137959446169,6,0,11,0.017669470731342708,1.1352318797345788,0.011511139824460706
